build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,use_mmap,use_direct_io,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"d05fe1d","1","AMD EPYC 7K62 48-Core Processor","NVIDIA GeForce RTX 3090, NVIDIA GeForce RTX 3090","CUDA","/root/models/qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf","qwen2 7B Q4_K - Medium","4677120000","7615616512","2048","512","48","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","128","16384","2026-05-08T02:07:16Z","2485754947","187936711","51.688638","3.876822"
"d05fe1d","1","AMD EPYC 7K62 48-Core Processor","NVIDIA GeForce RTX 3090, NVIDIA GeForce RTX 3090","CUDA","/root/models/qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf","qwen2 7B Q4_K - Medium","4677120000","7615616512","2048","512","48","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","128","24576","2026-05-08T02:07:28Z","2544249917","110052625","50.373960","2.234533"
"d05fe1d","1","AMD EPYC 7K62 48-Core Processor","NVIDIA GeForce RTX 3090, NVIDIA GeForce RTX 3090","CUDA","/root/models/qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf","qwen2 7B Q4_K - Medium","4677120000","7615616512","2048","512","48","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","0","512","0","0","2026-05-08T02:14:57Z","101415111","1842231","5049.390326","91.720732"
"d05fe1d","1","AMD EPYC 7K62 48-Core Processor","NVIDIA GeForce RTX 3090, NVIDIA GeForce RTX 3090","CUDA","/root/models/qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf","qwen2 7B Q4_K - Medium","4677120000","7615616512","2048","512","48","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","0","0","128","0","2026-05-08T02:14:58Z","885384065","55572142","144.855364","9.092010"
"d05fe1d","1","AMD EPYC 7K62 48-Core Processor","NVIDIA GeForce RTX 3090, NVIDIA GeForce RTX 3090","CUDA","/root/models/qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf","qwen2 7B Q4_K - Medium","4677120000","7615616512","2048","512","48","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","0","512","0","4096","2026-05-08T02:15:00Z","155058732","2105679","3302.279127","44.844558"
"d05fe1d","1","AMD EPYC 7K62 48-Core Processor","NVIDIA GeForce RTX 3090, NVIDIA GeForce RTX 3090","CUDA","/root/models/qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf","qwen2 7B Q4_K - Medium","4677120000","7615616512","2048","512","48","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","0","0","128","4096","2026-05-08T02:15:01Z","974326076","12918481","131.384405","1.742001"
"d05fe1d","1","AMD EPYC 7K62 48-Core Processor","NVIDIA GeForce RTX 3090, NVIDIA GeForce RTX 3090","CUDA","/root/models/qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf","qwen2 7B Q4_K - Medium","4677120000","7615616512","2048","512","48","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","0","512","0","8192","2026-05-08T02:15:03Z","209472604","112451","2444.234062","1.312138"
"d05fe1d","1","AMD EPYC 7K62 48-Core Processor","NVIDIA GeForce RTX 3090, NVIDIA GeForce RTX 3090","CUDA","/root/models/qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf","qwen2 7B Q4_K - Medium","4677120000","7615616512","2048","512","48","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","0","0","128","8192","2026-05-08T02:15:06Z","1094836148","646907","116.912492","0.069080"
"d05fe1d","1","AMD EPYC 7K62 48-Core Processor","NVIDIA GeForce RTX 3090, NVIDIA GeForce RTX 3090","CUDA","/root/models/qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf","qwen2 7B Q4_K - Medium","4677120000","7615616512","2048","512","48","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","0","512","0","16384","2026-05-08T02:15:08Z","319360024","52247","1603.206306","0.229557"
"d05fe1d","1","AMD EPYC 7K62 48-Core Processor","NVIDIA GeForce RTX 3090, NVIDIA GeForce RTX 3090","CUDA","/root/models/qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf","qwen2 7B Q4_K - Medium","4677120000","7615616512","2048","512","48","0x0","0","50","f16","f16","99","0","layer","0","0","0","auto","0.00","none","1","0","0","0","0","0","0","0","128","16384","2026-05-08T02:15:13Z","1356274022","8995143","94.378284","0.625940"
"d05fe1d","1","AMD EPYC 7K62 48-Core Processor","NVIDIA GeForce RTX 3090, NVIDIA GeForce RTX 3090","CUDA","/root/models/qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf","qwen2 7B Q4_K - Medium","4677120000","7615616512","2048","512","48","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","512","0","0","2026-05-08T02:15:17Z","89095611","827319","5746.883251","53.364096"
"d05fe1d","1","AMD EPYC 7K62 48-Core Processor","NVIDIA GeForce RTX 3090, NVIDIA GeForce RTX 3090","CUDA","/root/models/qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf","qwen2 7B Q4_K - Medium","4677120000","7615616512","2048","512","48","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","128","0","2026-05-08T02:15:17Z","821221606","227957","155.865364","0.043266"
"d05fe1d","1","AMD EPYC 7K62 48-Core Processor","NVIDIA GeForce RTX 3090, NVIDIA GeForce RTX 3090","CUDA","/root/models/qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf","qwen2 7B Q4_K - Medium","4677120000","7615616512","2048","512","48","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","512","0","4096","2026-05-08T02:15:19Z","105592161","16963","4848.844855","0.778972"
"d05fe1d","1","AMD EPYC 7K62 48-Core Processor","NVIDIA GeForce RTX 3090, NVIDIA GeForce RTX 3090","CUDA","/root/models/qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf","qwen2 7B Q4_K - Medium","4677120000","7615616512","2048","512","48","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","128","4096","2026-05-08T02:15:19Z","873368035","473741","146.559083","0.079188"
"d05fe1d","1","AMD EPYC 7K62 48-Core Processor","NVIDIA GeForce RTX 3090, NVIDIA GeForce RTX 3090","CUDA","/root/models/qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf","qwen2 7B Q4_K - Medium","4677120000","7615616512","2048","512","48","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","512","0","8192","2026-05-08T02:15:21Z","121876147","390943","4201.007717","13.475630"
"d05fe1d","1","AMD EPYC 7K62 48-Core Processor","NVIDIA GeForce RTX 3090, NVIDIA GeForce RTX 3090","CUDA","/root/models/qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf","qwen2 7B Q4_K - Medium","4677120000","7615616512","2048","512","48","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","128","8192","2026-05-08T02:15:23Z","899698915","852421","142.269881","0.134794"
"d05fe1d","1","AMD EPYC 7K62 48-Core Processor","NVIDIA GeForce RTX 3090, NVIDIA GeForce RTX 3090","CUDA","/root/models/qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf","qwen2 7B Q4_K - Medium","4677120000","7615616512","2048","512","48","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","512","0","16384","2026-05-08T02:15:25Z","153810050","343111","3328.789432","7.415990"
"d05fe1d","1","AMD EPYC 7K62 48-Core Processor","NVIDIA GeForce RTX 3090, NVIDIA GeForce RTX 3090","CUDA","/root/models/qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf","qwen2 7B Q4_K - Medium","4677120000","7615616512","2048","512","48","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","128","16384","2026-05-08T02:15:27Z","969160432","1153633","132.073170","0.157212"
"d05fe1d","1","AMD EPYC 7K62 48-Core Processor","NVIDIA GeForce RTX 3090, NVIDIA GeForce RTX 3090","CUDA","/root/models/qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf","qwen2 7B Q4_K - Medium","4677120000","7615616512","2048","512","48","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","512","0","8192","2026-05-08T02:20:47Z","192995122","1924334","2653.048674","26.453276"
"d05fe1d","1","AMD EPYC 7K62 48-Core Processor","NVIDIA GeForce RTX 3090, NVIDIA GeForce RTX 3090","CUDA","/root/models/qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf","qwen2 7B Q4_K - Medium","4677120000","7615616512","2048","512","48","0x0","0","50","f16","f16","99","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","128","8192","2026-05-08T02:20:50Z","2753690262","62869590","46.495196","1.061533"
"d05fe1d","1","AMD EPYC 7K62 48-Core Processor","NVIDIA GeForce RTX 3090, NVIDIA GeForce RTX 3090","CUDA","/root/models/qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf","qwen2 7B Q4_K - Medium","4677120000","7615616512","2048","512","48","0x0","0","50","q8_0","q8_0","99","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","512","0","8192","2026-05-08T02:21:03Z","187164291","19616191","2750.672018","288.290481"
"d05fe1d","1","AMD EPYC 7K62 48-Core Processor","NVIDIA GeForce RTX 3090, NVIDIA GeForce RTX 3090","CUDA","/root/models/qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf","qwen2 7B Q4_K - Medium","4677120000","7615616512","2048","512","48","0x0","0","50","q8_0","q8_0","99","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","128","8192","2026-05-08T02:21:06Z","2749042540","216543040","46.706567","3.679092"
"d05fe1d","1","AMD EPYC 7K62 48-Core Processor","NVIDIA GeForce RTX 3090, NVIDIA GeForce RTX 3090","CUDA","/root/models/qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf","qwen2 7B Q4_K - Medium","4677120000","7615616512","2048","512","48","0x0","0","50","q4_0","q4_0","99","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","512","0","8192","2026-05-08T02:21:18Z","188510576","3769566","2716.571114","54.322126"
"d05fe1d","1","AMD EPYC 7K62 48-Core Processor","NVIDIA GeForce RTX 3090, NVIDIA GeForce RTX 3090","CUDA","/root/models/qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf","qwen2 7B Q4_K - Medium","4677120000","7615616512","2048","512","48","0x0","0","50","q4_0","q4_0","99","0","layer","0","0","1","auto","0.00","none","1","0","0","0","0","0","0","0","128","8192","2026-05-08T02:21:21Z","2773961161","82132967","46.163635","1.366838"
